100, Fcube Cinemas, Chabahil, 4468700, Yes, Yes, 500
101, QFX Central, Sundhara, 4442220, Yes, Yes, 560
102, Q's Cinemas, Durbarmarg, 4169201, Yes, Yes, 510
103, Guna Cinemas, Gwarko, 5200668, Yes, No, 200
104, Big Movies, Kamalpokhari, 2112233, Yes, Yes, 350
105, Cine De Chef, Sundhara, 4248402, Yes, Yes, 800
106, Gopi Krishna Cinemas, Chabahil, 4812409, No, No, 300
107, BSR Movies, Gongabu, 4362712, Yes, No, 445
108, iNi North Cinemas, Karmacharya Complex, 4364540, Yes, Yes, 350
109, One Cinemas, Eyeplex Mall, 5903206, Yes, Yes, 1500
110, I Cinema, Itahari Mall, 5587554, Yes, Yes, 300
111, Barahi Movies, Bhaktapur, 6611214, No, No, 100
